queue,seq,latency_ns
MutexQueue,1067,604
MutexQueue,1068,5485
MutexQueue,1069,702
MutexQueue,1070,5493
MutexQueue,1071,954
MutexQueue,1072,5838
MutexQueue,1073,965
MutexQueue,1074,5976
MutexQueue,1075,1114
MutexQueue,1076,5575
MutexQueue,1077,713
MutexQueue,1078,5906
MutexQueue,1079,1037
MutexQueue,1080,5920
MutexQueue,1081,1049
MutexQueue,1082,5520
MutexQueue,1083,653
MutexQueue,1084,5726
MutexQueue,1085,877
MutexQueue,1086,5486
MutexQueue,1087,974
MutexQueue,1088,5890
MutexQueue,1089,1019
MutexQueue,1090,5896
MutexQueue,1091,1014
MutexQueue,1092,5511
MutexQueue,1093,647
MutexQueue,1094,5906
MutexQueue,1095,1063
MutexQueue,1096,5938
MutexQueue,1097,1073
MutexQueue,1098,5516
MutexQueue,1099,641
MutexQueue,1100,5476
MutexQueue,1101,611
MutexQueue,1102,5523
MutexQueue,1103,940
MutexQueue,1104,5803
MutexQueue,1105,954
MutexQueue,1106,5909
MutexQueue,1107,1380
MutexQueue,1108,5548
MutexQueue,1109,676
MutexQueue,1110,5847
MutexQueue,1111,977
MutexQueue,1112,5932
MutexQueue,1113,1086
MutexQueue,1114,5519
MutexQueue,1115,677
MutexQueue,1116,5657
MutexQueue,1117,799
MutexQueue,1118,5499
MutexQueue,1119,957
MutexQueue,1120,5882
MutexQueue,1121,1014
MutexQueue,1122,5870
MutexQueue,1123,1000
MutexQueue,1124,5482
MutexQueue,1125,630
MutexQueue,1126,5879
MutexQueue,1127,1022
MutexQueue,1128,5931
MutexQueue,1129,1055
MutexQueue,1130,5507
MutexQueue,1131,637
MutexQueue,1132,5504
MutexQueue,1133,620
MutexQueue,1134,5554
MutexQueue,1135,971
MutexQueue,1136,5789
MutexQueue,1137,922
MutexQueue,1138,5912
MutexQueue,1139,1053
MutexQueue,1140,5555
MutexQueue,1141,679
MutexQueue,1142,5859
MutexQueue,1143,986
MutexQueue,1144,5875
MutexQueue,1145,1013
MutexQueue,1146,5524
MutexQueue,1147,650
MutexQueue,1148,5649
MutexQueue,1149,780
MutexQueue,1150,5549
MutexQueue,1151,1020
MutexQueue,1152,5800
MutexQueue,1153,986
MutexQueue,1154,5925
MutexQueue,1155,1074
MutexQueue,1156,5547
MutexQueue,1157,719
MutexQueue,1158,5821
MutexQueue,1159,986
MutexQueue,1160,5900
MutexQueue,1161,1028
